"ID_PEDIDO";"PEDDTEMIS";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"TRANSITIONS";"PDPDESCRICAO";"PEDAUTORIZOU";"FISCODIGO";"QTD";"VRVENDA"
13652589;2023-09-29;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"DIANESSA";"5.101  ";2;554,07
13652677;2023-09-29;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"DIANESSA";"5.101  ";2;210,45
13653374;2023-09-30;4132;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"GISELE ";"5.101  ";2;486,91
13653518;2023-09-30;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"VINICIOS";"5.101  ";2;714,67
13653519;2023-09-30;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"VINICIOS";"5.101  ";2;249,76
13654490;2023-10-02;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"JULIANA CARDOSO ";"5.101  ";2;554,07
13659993;2023-10-03;4132;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"GISELE ";"5.101  ";2;486,91
13660218;2023-10-03;4132;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"GISELE ";"5.101  ";2;190,26
13663703;2023-10-05;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"MAYARA";"5.101  ";2;554,07
13665024;2023-10-05;3324;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ANA PAULA";"5.101  ";2;486,91
